DateTime,Consumption,Month,Year,Date,Time,Week,Day
2016-01-04 00:00:00,11721.0,1,2016,2016-01-04,00:00:00,1,Monday
2016-01-04 01:00:00,11626.0,1,2016,2016-01-04,01:00:00,1,Monday
2016-01-04 02:00:00,11253.0,1,2016,2016-01-04,02:00:00,1,Monday
2016-01-04 03:00:00,10925.0,1,2016,2016-01-04,03:00:00,1,Monday
2016-01-04 04:00:00,10684.0,1,2016,2016-01-04,04:00:00,1,Monday
2016-01-04 05:00:00,10622.0,1,2016,2016-01-04,05:00:00,1,Monday
2016-01-04 06:00:00,10758.0,1,2016,2016-01-04,06:00:00,1,Monday
2016-01-04 07:00:00,11164.0,1,2016,2016-01-04,07:00:00,1,Monday
2016-01-04 08:00:00,12024.0,1,2016,2016-01-04,08:00:00,1,Monday
2016-01-04 09:00:00,12584.0,1,2016,2016-01-04,09:00:00,1,Monday
2016-01-04 10:00:00,12959.0,1,2016,2016-01-04,10:00:00,1,Monday
2016-01-04 11:00:00,12927.0,1,2016,2016-01-04,11:00:00,1,Monday
2016-01-04 12:00:00,12932.0,1,2016,2016-01-04,12:00:00,1,Monday
2016-01-04 13:00:00,12969.0,1,2016,2016-01-04,13:00:00,1,Monday
2016-01-04 14:00:00,12922.0,1,2016,2016-01-04,14:00:00,1,Monday
2016-01-04 15:00:00,12918.0,1,2016,2016-01-04,15:00:00,1,Monday
2016-01-04 16:00:00,12872.0,1,2016,2016-01-04,16:00:00,1,Monday
2016-01-04 17:00:00,13051.0,1,2016,2016-01-04,17:00:00,1,Monday
2016-01-04 18:00:00,13287.0,1,2016,2016-01-04,18:00:00,1,Monday
2016-01-04 19:00:00,13217.0,1,2016,2016-01-04,19:00:00,1,Monday
2016-01-04 20:00:00,13136.0,1,2016,2016-01-04,20:00:00,1,Monday
2016-01-04 21:00:00,13186.0,1,2016,2016-01-04,21:00:00,1,Monday
2016-01-04 22:00:00,12997.0,1,2016,2016-01-04,22:00:00,1,Monday
2016-01-04 23:00:00,12481.0,1,2016,2016-01-04,23:00:00,1,Monday
2016-01-05 00:00:00,12645.0,1,2016,2016-01-05,00:00:00,1,Tuesday
2016-01-05 01:00:00,12481.0,1,2016,2016-01-05,01:00:00,1,Tuesday
2016-01-05 02:00:00,12050.0,1,2016,2016-01-05,02:00:00,1,Tuesday
2016-01-05 03:00:00,11741.0,1,2016,2016-01-05,03:00:00,1,Tuesday
2016-01-05 04:00:00,11504.0,1,2016,2016-01-05,04:00:00,1,Tuesday
2016-01-05 05:00:00,11417.0,1,2016,2016-01-05,05:00:00,1,Tuesday
2016-01-05 06:00:00,11565.0,1,2016,2016-01-05,06:00:00,1,Tuesday
